location_group_id,cluster_id,cluster_name,gemeente_values,site_ids,silhouette_value,distance_to_assigned_centroid,pca_1,pca_2,pca_1_explained_variance_ratio,pca_2_explained_variance_ratio
LG0024,0,cluster_0,Herk-de-Stad,30|31,0.6433088532757248,1.259635275433054,-0.33714808779053496,0.9512512284439006,0.6535150186271345,0.21765012075981113
LG0025,0,cluster_0,Lummen,32|33,0.4975839484549049,1.482097986002548,0.9921855720360494,-0.003593309814246323,0.6535150186271345,0.21765012075981113
LG0026,0,cluster_0,Lanaken,35|36,0.0736036797547685,2.57587480965836,2.1200190282938207,-0.16307978378600033,0.6535150186271345,0.21765012075981113
LG0027,0,cluster_0,Lommel,37|38,0.4820597570774844,1.7501120641607362,0.8830806175404892,-1.0714281984338245,0.6535150186271345,0.21765012075981113
LG0028,0,cluster_0,Peer,39|40,0.2701894727920227,2.252672547437779,1.5662852797363656,0.7277970537279845,0.6535150186271345,0.21765012075981113
LG0029,0,cluster_0,Maasmechelen,41|42,0.3566728436108599,2.507547834745434,1.2170780193998332,-1.8299623367398692,0.6535150186271345,0.21765012075981113
LG0030,1,cluster_1,Maaseik,43|44,0.4573185597807909,1.9239826317653863,3.8950429858197375,0.9665311819159949,0.6535150186271345,0.21765012075981113
LG0031,0,cluster_0,Pelt,45|46,0.600396470984557,1.4573450721377892,0.031056079078170973,-1.0759259508008538,0.6535150186271345,0.21765012075981113
LG0032,0,cluster_0,Vilvoorde,47,0.5654431247974041,2.3150664432128782,-0.818179935555357,2.1010003952310394,0.6535150186271345,0.21765012075981113
LG0033,1,cluster_1,As,48,0.6839336963806141,1.6710517238201317,6.583132483323789,0.38159488472598496,0.6535150186271345,0.21765012075981113
LG0034,0,cluster_0,Genk,49,0.5260228229473364,1.36171349299857,0.8405054442176191,0.39421505302825965,0.6535150186271345,0.21765012075981113
LG0035,0,cluster_0,Brugge,50|51,0.6735091160127294,1.4731537967849822,-1.2202737142781315,0.21188104966757268,0.6535150186271345,0.21765012075981113
LG0037,0,cluster_0,Brugge,53|54,0.6722797656363073,0.9299990186555444,-0.2639881739921898,0.7120051397551873,0.6535150186271345,0.21765012075981113
LG0038,0,cluster_0,Torhout,55|56,0.6986053983293474,1.0065479582212669,-0.9303586699395662,-0.17850163276887696,0.6535150186271345,0.21765012075981113
LG0039,0,cluster_0,Meulebeke,57|58,0.6881314505661181,0.9348155012853048,-0.6417941442526964,0.3698771865354321,0.6535150186271345,0.21765012075981113
LG0040,0,cluster_0,Ardooie,59|60,0.6567332057068789,1.814424886801059,-1.7099782217167006,-1.0938663012960277,0.6535150186271345,0.21765012075981113
LG0041,0,cluster_0,Wervik,61|62,0.6993640548931565,1.3763759596386371,-1.571837498991774,0.2036144189867938,0.6535150186271345,0.21765012075981113
LG0042,1,cluster_1,Nieuwpoort,63|66,0.6917051666006813,1.0614651159859525,5.223154198024477,-0.6030880350995601,0.6535150186271345,0.21765012075981113
LG0043,1,cluster_1,Nieuwpoort,64,0.6816685357188534,1.2621469009311763,5.368781786643274,-0.21849457752791035,0.6535150186271345,0.21765012075981113
LG0044,1,cluster_1,Nieuwpoort,65,0.2806919617478779,2.1297969580731766,2.987436862460036,0.12001629015486416,0.6535150186271345,0.21765012075981113
LG0045,0,cluster_0,Ieper,67|68,0.6863654113639638,1.3376116214697098,-1.2492896320237936,0.5929909928754398,0.6535150186271345,0.21765012075981113
LG0047,0,cluster_0,Kampenhout,70,0.6103446584293847,1.50159405267756,-0.14473828835849983,1.4139259401716646,0.6535150186271345,0.21765012075981113
LG0048,0,cluster_0,Kampenhout,71,0.6668269546296326,0.7847710517114785,-0.02997516271852683,0.5944719639943187,0.6535150186271345,0.21765012075981113
LG0049,0,cluster_0,Herent,72|73,0.6825352687093982,1.6603268951659431,-1.7762658295629072,0.909736551932765,0.6535150186271345,0.21765012075981113
LG0050,0,cluster_0,Kortrijk,74|75,0.6719501107027126,1.8880149101040655,-2.130028205118025,-0.5576577868533222,0.6535150186271345,0.21765012075981113
LG0051,0,cluster_0,Leuven,76,0.6790357674976712,1.368600086966519,-1.1311001026415493,0.6917977507416588,0.6535150186271345,0.21765012075981113
LG0052,0,cluster_0,Leuven,77|107,0.6993119005026036,0.9829877084151568,-0.9337878193189391,-0.09338824291659634,0.6535150186271345,0.21765012075981113
LG0053,0,cluster_0,Pepingen,78|79,0.6412706726537107,1.2786004384584586,-0.28606112349862883,1.1811371809618714,0.6535150186271345,0.21765012075981113
LG0054,0,cluster_0,Wemmel,80|81,0.6095061880095816,2.40360266419056,-1.9243536088663835,1.4956606659908362,0.6535150186271345,0.21765012075981113
LG0055,0,cluster_0,Beersel,82|83,0.6355574420827532,1.1603324695385724,-0.10705274070854402,0.05378925562330081,0.6535150186271345,0.21765012075981113
LG0056,0,cluster_0,Izegem,84,0.7124664896236487,0.8102232956955436,-0.881186382745166,0.3972757975586613,0.6535150186271345,0.21765012075981113
LG0057,0,cluster_0,Asse,85,0.6896310060697626,0.7193386694188311,-0.36906436309009943,0.5357657998333252,0.6535150186271345,0.21765012075981113
LG0058,0,cluster_0,Asse,86,0.697177101592057,1.0165811641615006,-0.885353637928146,0.7547497204535037,0.6535150186271345,0.21765012075981113
LG0059,0,cluster_0,Aarschot,87,0.6968150380941143,1.2174043038775957,-1.319704090358046,-0.20990054260992674,0.6535150186271345,0.21765012075981113
LG0060,0,cluster_0,Westerlo,88|89,0.3094940823045011,2.317892774582137,1.5604387822282055,-0.5448898591733874,0.6535150186271345,0.21765012075981113
LG0061,0,cluster_0,Brecht,90|91,0.5426919259428852,1.483924929107596,0.6030086628222932,1.0029137492590463,0.6535150186271345,0.21765012075981113
LG0062,0,cluster_0,Nijlen,92|93,0.6729683060811652,0.7184343877734934,-0.03345932194437399,-0.543038542950893,0.6535150186271345,0.21765012075981113
LG0063,0,cluster_0,Herentals,94|110,0.4861340083339365,1.663267575627038,0.9494661767492427,-0.49029001299200087,0.6535150186271345,0.21765012075981113
LG0064,0,cluster_0,Lier,95|96,0.7034138541155516,1.4035290313819968,-1.738474482632923,0.39890954804122375,0.6535150186271345,0.21765012075981113
LG0065,0,cluster_0,Geel,97|98,0.7072001993868509,1.0372663169184368,-1.154675651218548,-0.7241853107438116,0.6535150186271345,0.21765012075981113
